,Spleen_NK_1,Spleen_NK_2,Spleen_NK_3,Spleen_NK_4,Spleen_NK_5,Spleen_ILC1_1,Spleen_ILC1_2,Spleen_ILC1_3
-343C11.2,0,0,0,0,1,0,0,0
00R_AC107638.2,4,3,0,3,7,7,3,8
00R_Pgap2,0,0,0,0,0,0,0,0
0610005C13Rik,10,20,19,21,10,21,21,12
0610006L08Rik,0,0,0,0,0,0,0,0
0610007P14Rik,3097,2648,1329,1209,1363,1816,1314,1600
0610009B22Rik,632,493,232,223,203,327,236,273
0610009E02Rik,5,3,5,4,7,4,4,3
0610009L18Rik,134,134,55,60,43,17,41,55
0610009O20Rik,358,384,236,254,293,377,230,231
0610010F05Rik,3781,2979,1622,1793,1748,185,733,733
0610010K14Rik,192,151,89,114,95,109,65,103
0610012D04Rik,60,72,32,20,22,2,7,0
0610012G03Rik,1942,1736,759,642,658,47,623,664
0610025J13Rik,0,0,2,1,1,0,1,0
0610030E20Rik,4314,4160,2563,2668,3350,2442,1928,2742
0610031O16Rik,0,0,0,0,0,0,0,0
0610033M10Rik,0,0,0,0,0,0,0,0
0610037L13Rik,2771,2357,1121,1057,1261,1699,1002,1306
0610038B21Rik,65,52,35,33,34,14,20,12
0610039K10Rik,6,10,3,7,3,3,4,7
0610040B10Rik,36,95,41,44,38,92,38,58
0610040F04Rik,10,6,2,8,6,1,3,3
0610040J01Rik,24,17,0,2,0,12,52,43
0610043K17Rik,10,5,0,7,5,6,4,6
1010001B22Rik,16,18,3,3,6,1,3,4
1010001N08Rik,1,1,0,1,0,0,1,0
1110002E22Rik,0,4,0,0,0,0,1,0
1110002J07Rik,0,3,0,4,2,3,0,12
1110002L01Rik,471,494,220,256,277,200,165,188
1110002O04Rik,0,1,0,0,0,0,0,0
1110003F10Rik,13,15,3,10,11,8,5,2
1110004E09Rik,802,529,185,218,236,395,301,372
1110004F10Rik,7771,6101,2859,2730,2648,4614,3171,3836
1110006O24Rik,63,57,15,26,31,38,31,30
1110008E08Rik,0,0,0,0,0,0,0,0
1110008F13Rik,3710,2944,1462,1415,1518,140,1351,1391
1110008L16Rik,421,384,219,198,190,469,231,315
1110008P14Rik,920,1091,500,388,437,694,529,559
1110012L19Rik,1077,977,447,411,478,498,356,464
1110015O18Rik,0,3,0,0,4,0,0,0
1110017D15Rik,0,0,2,0,0,0,0,0
1110018N20Rik,0,0,0,0,0,0,0,0
1110019D14Rik,82,108,56,52,68,84,39,54
1110020A21Rik,52,53,26,19,22,32,23,21
1110025L11Rik,0,0,0,0,0,0,0,0
1110025M09Rik,13,33,11,25,25,5,2,5
1110028F11Rik,90,62,28,28,43,78,29,57
1110028F18Rik,0,3,0,4,2,0,0,0
1110032A03Rik,503,559,286,215,209,347,235,314
1110032F04Rik,3,11,0,5,0,0,0,0
1110034G24Rik,1307,1029,520,472,475,599,437,439
1110035H17Rik,36,26,10,13,24,5,15,18
1110036E04Rik,0,1,0,0,0,0,0,0
1110037F02Rik,8253,9907,7626,8152,8457,8608,5506,6248
1110038B12Rik,55,111,43,70,40,101,47,72
1110038F14Rik,1416,1178,614,642,675,1219,828,952
1110046J04Rik,9,16,5,3,1,10,3,6
1110051M20Rik,362,261,155,141,138,285,263,257
1110057P08Rik,0,0,0,0,0,0,1,0
1110059E24Rik,1314,1339,762,618,739,997,697,865
1110059G10Rik,827,1172,528,607,509,881,463,726
1110060G06Rik,0,0,0,0,0,0,0,0
1110065P20Rik,291,328,142,101,128,36,109,105
1190002N15Rik,6453,5348,3692,3893,4380,246,359,353
1190003K10Rik,0,0,0,1,1,0,0,0
1190005I06Rik,4,3,0,1,1,0,0,3
1190007I07Rik,304,333,144,166,137,187,126,120
1190028D05Rik,0,0,0,0,0,0,0,0
1200007C13Rik,0,4,0,0,1,1,2,0
1300002E11Rik,1715,1582,663,781,802,971,632,867
1300017J02Rik,3,9,0,1,4,363,373,333
1500002C15Rik,137,184,93,101,108,109,88,92
1500002F19Rik,2,0,1,2,0,0,0,5
1500004A13Rik,235,277,242,226,230,179,111,152
1500005C15Rik,0,1,0,0,0,0,0,0
1500009C09Rik,0,0,0,0,0,0,0,0
1500009L16Rik,2,1,0,6,0,4,9,2
1500011B03Rik,1238,905,508,550,418,706,534,705
1500011K16Rik,213,240,73,77,94,227,183,191
1500012K07Rik,0,2,0,1,2,0,0,0
1500015A07Rik,354,512,131,216,218,224,180,207
1500015L24Rik,0,0,0,0,0,0,0,0
1500015O10Rik,0,5,0,0,0,4,1,0
1500017E21Rik,0,1,0,1,0,0,0,1
1500026H17Rik,11,13,6,2,1,7,3,0
1500035N22Rik,0,0,0,0,1,0,0,0
1520401A03Rik,6,3,4,3,6,0,0,0
1600002D24Rik,0,0,0,0,0,0,0,0
1600002H07Rik,333,244,119,157,160,282,162,164
1600002K03Rik,196,290,141,118,129,201,110,162
1600010M07Rik,24,26,0,1,2,43,46,29
1600012H06Rik,2900,3090,1560,1616,1856,1963,1262,1729
1600012P17Rik,0,0,0,0,1,0,0,0
1600014C10Rik,4580,3240,1946,1983,1987,6186,4391,4580
1600014C23Rik,8,3,0,1,2,0,0,0
1600015I10Rik,0,2,0,0,0,0,0,0
1600017P15Rik,0,0,0,0,0,0,0,0
1600019K03Rik,0,2,0,0,1,0,0,0
1600020E01Rik,2158,1784,852,797,960,245,527,642
1600023N17Rik,42,34,7,15,17,24,5,17
1600025M17Rik,0,0,0,0,0,0,0,0
1600027J07Rik,0,0,0,0,0,0,0,0
1600029O15Rik,0,9,7,3,3,0,0,0
1700001C02Rik,0,0,0,0,0,0,0,0
1700001C19Rik,17,7,6,5,5,18,12,7
1700001D01Rik,3,1,2,0,0,0,0,0
1700001F09Rik,0,0,0,0,0,0,0,0
1700001G01Rik,0,2,0,0,0,0,0,0
1700001G11Rik,11,15,3,7,10,10,3,6
1700001G17Rik,26,22,20,11,7,12,13,15
1700001J03Rik,0,1,1,0,0,0,0,2
1700001J04Rik,0,0,0,0,0,0,0,0
1700001J11Rik,0,0,0,5,2,0,0,0
1700001K19Rik,1,4,0,1,0,0,0,5
1700001L05Rik,17,25,13,13,15,17,10,15
1700001L19Rik,0,0,0,0,0,0,0,0
1700001N15Rik,0,0,0,0,0,0,0,0
1700001O22Rik,13,11,3,0,5,0,2,14
1700001P01Rik,0,0,0,1,2,0,0,0
1700003C15Rik,0,0,0,0,0,0,0,0
1700003D09Rik,0,0,0,0,0,0,0,0
1700003E16Rik,0,0,0,0,0,0,0,0
1700003E24Rik,0,0,0,0,0,0,0,0
1700003F12Rik,1,2,0,1,2,1,1,1
1700003G13Rik,0,0,0,0,0,0,0,0
1700003G18Rik,4,8,1,3,3,4,0,0
1700003H04Rik,0,0,0,0,1,0,0,0
1700003I16Rik,0,0,0,0,0,0,2,0
1700003I22Rik,0,0,0,0,0,0,0,0
1700003L19Rik,0,0,0,0,0,0,0,0
1700003M07Rik,0,0,0,0,0,0,0,0
1700003N22Rik,43,43,16,22,15,1,19,23
1700003P14Rik,0,0,0,0,0,0,0,0
1700006A11Rik,0,1,0,1,0,0,0,0
1700006E09Rik,0,0,1,0,0,0,0,0
1700006F04Rik,0,0,0,0,0,3,0,0
1700006H21Rik,0,0,0,0,0,0,0,0
1700006J14Rik,7,2,2,0,0,43,26,30
1700006P03Rik,0,0,0,0,0,0,0,0
1700007B14Rik,0,1,0,0,0,0,0,0
1700007E05Rik,0,0,0,0,2,0,0,0
1700007F19Rik,0,0,0,0,0,0,0,0
1700007G11Rik,1,2,0,0,1,4,0,1
1700007J10Rik,2,3,2,0,4,1,0,0
1700007K09Rik,0,0,0,0,0,0,0,0
1700007K13Rik,0,1,0,1,0,0,0,0
1700007L15Rik,155,139,51,47,53,111,44,55
1700007M16Rik,0,0,0,0,0,0,0,0
1700007P06Rik,0,0,0,1,0,0,0,0
1700008A23Rik,0,1,0,0,2,0,0,0
1700008B11Rik,1,0,2,0,0,0,1,0
1700008H02Rik,0,4,0,4,1,0,0,0
1700008J07Rik,151,154,77,65,82,38,53,49
1700008K24Rik,0,0,0,0,0,0,0,0
1700008N11Rik,0,0,0,0,0,0,0,0
1700008O03Rik,5,0,0,0,0,4,0,1
1700008P02Rik,0,0,0,0,0,0,0,0
1700009C05Rik,0,1,1,0,0,0,0,0
1700009J07Rik,0,1,0,0,0,0,0,0
1700009N14Rik,0,2,0,1,7,0,0,0
1700010B08Rik,0,0,0,1,0,0,0,0
1700010B13Rik,0,0,0,0,0,0,0,2
1700010D01Rik,0,0,0,0,0,0,0,0
1700010H22Rik,0,0,0,0,1,0,0,0
1700010I02Rik,0,0,0,0,0,0,0,0
1700010I14Rik,424,230,137,129,125,231,149,150
1700010J16Rik,0,0,0,0,0,0,0,0
1700010K23Rik,0,0,0,0,0,0,0,0
1700010K24Rik,0,0,1,0,0,0,0,0
1700010L04Rik,2,3,1,1,0,0,0,2
1700010N08Rik,0,0,0,0,0,0,0,0
1700011B04Rik,0,0,0,0,0,0,0,0
1700011C11Rik,0,0,0,0,0,0,0,0
1700011D18Rik,1,1,0,0,0,0,0,0
1700011H14Rik,1,3,1,0,3,0,0,0
1700011I03Rik,0,0,0,0,0,2,0,0
1700011L03Rik,0,0,0,1,1,2,0,0
1700011L22Rik,2,0,0,0,0,0,1,0
1700011M02Rik,0,0,0,0,0,0,0,0
1700012A03Rik,0,0,0,0,2,0,0,0
1700012B07Rik,0,0,0,0,0,13,20,18
1700012B09Rik,0,0,0,0,0,0,0,4
1700012C08Rik,0,0,0,0,0,0,0,0
1700012C14Rik,0,0,0,0,0,0,0,0
1700012D14Rik,218,352,186,232,308,278,152,245
1700012D16Rik,0,0,0,0,0,1,2,1
1700012E03Rik,0,0,0,0,0,0,0,0
1700012I11Rik,1,3,0,1,0,6,0,0
1700012J22Rik,0,1,0,0,0,0,0,0
1700012P22Rik,0,0,0,0,0,0,0,0
1700013A02Rik,0,0,0,0,0,0,0,0
1700013D24Rik,0,0,0,0,0,0,0,0
1700013F07Rik,0,2,0,2,0,0,0,2
1700013G24Rik,0,0,0,0,0,0,0,0
1700013H16Rik,0,0,0,0,0,0,0,0
1700013M08Rik,0,1,0,0,1,2,0,0
1700013N06Rik,0,0,0,0,0,0,0,0
1700014D04Rik,0,0,0,4,0,0,0,0
1700014F14Rik,0,0,0,0,0,0,0,0
1700014L14Rik,0,0,0,0,0,0,0,0
1700015C17Rik,0,0,0,0,0,2,0,0
1700015F17Rik,1,0,0,0,0,0,0,0
1700015G11Rik,0,0,0,0,0,0,0,0
1700015O11Rik,1,2,0,2,2,0,0,0
1700016A09Rik,1,2,1,3,2,0,0,0
1700016B15Rik,3,2,2,1,0,2,0,0
1700016C15Rik,1,1,6,1,2,0,1,1
1700016D06Rik,0,0,0,0,1,0,1,2
1700016D08Rik,0,0,0,0,0,0,0,0
1700016F12Rik,0,0,0,0,0,0,0,1
1700016G14Rik,2,4,0,2,3,1,0,2
1700016G22Rik,0,0,0,0,0,0,0,0
1700016H13Rik,0,0,0,0,0,0,7,1
1700016K19Rik,0,0,0,0,0,1,1,0
1700016L21Rik,0,0,0,0,0,0,1,0
1700016P03Rik,0,0,0,2,1,0,0,1
1700016P04Rik,0,0,0,0,0,0,0,0
1700017B05Rik,434,283,415,455,401,1372,1261,1419
1700017D01Rik,1,0,0,1,0,0,0,0
1700017G19Rik,0,0,0,0,0,0,0,0
1700017I07Rik,0,0,0,0,0,0,0,0
1700017J07Rik,0,0,0,0,0,0,0,0
1700017L05Rik,0,0,0,0,0,0,0,0
1700017N19Rik,0,0,0,0,1,0,0,0
1700018A04Rik,0,5,0,4,2,0,0,1
1700018A14Rik,7,10,1,2,4,1,2,2
1700018B08Rik,0,0,0,0,0,0,0,0
1700018B24Rik,0,0,0,0,0,0,0,0
1700018C11Rik,0,0,0,0,0,0,0,0
1700018F24Rik,0,0,0,0,0,0,0,0
1700018G05Rik,0,0,0,0,0,0,0,0
1700018L02Rik,91,114,98,73,110,5,26,21
1700018M17Rik,4,10,1,1,1,0,0,1
1700018P08Rik,0,0,0,0,2,0,0,0
1700019A02Rik,0,0,0,0,0,0,1,0
1700019A23Rik,0,0,0,0,0,1,0,0
1700019B03Rik,0,1,0,1,2,0,0,0
1700019B21Rik,0,0,0,0,0,0,0,0
1700019D03Rik,3,10,1,2,2,2,2,6
1700019E08Rik,0,0,0,0,0,0,0,0
1700019G24Rik,0,0,0,0,0,0,0,0
1700019M22Rik,0,0,0,0,0,0,0,0
1700019N19Rik,0,1,0,0,0,0,0,0
1700019P21Rik,0,0,0,0,0,0,0,0
1700020A23Rik,0,0,2,1,1,0,0,0
1700020D05Rik,6,9,2,6,8,4,0,0
1700020G17Rik,0,0,0,0,0,0,0,0
1700020I14Rik,19397,16744,8479,9009,10028,7650,5328,7854
1700020L24Rik,174,138,50,51,51,44,46,65
1700020M21Rik,0,0,0,0,0,0,0,0
1700020N01Rik,0,0,0,0,0,0,0,0
1700020N15Rik,0,0,0,0,0,0,0,0
1700020N18Rik,0,0,0,1,1,0,0,0
1700021A07Rik,0,9,4,5,2,3,3,7
1700021F05Rik,778,684,325,328,293,291,245,267
1700021F07Rik,0,0,0,0,0,0,0,0
1700021F13Rik,0,0,0,0,0,0,0,0
1700021J08Rik,61,51,21,26,25,8,19,25
1700021L23Rik,0,0,0,0,0,0,0,0
1700021N21Rik,0,0,0,0,0,0,0,0
1700021P04Rik,0,0,0,0,0,0,0,0
1700022A21Rik,0,1,0,2,0,0,0,0
1700022A22Rik,0,0,0,2,0,0,0,0
1700022E09Rik,0,0,0,0,0,0,0,0
1700022F17Rik,0,0,0,0,0,0,0,0
1700022H16Rik,0,0,0,0,0,0,0,0
1700022I11Rik,3,4,4,1,2,2,0,1
1700022N22Rik,8,10,0,7,4,11,7,16
1700023C21Rik,0,0,0,0,0,0,0,0
1700023F02Rik,0,0,1,0,0,0,0,0
1700023F06Rik,0,0,0,0,0,0,0,0
1700023G09Rik,0,1,0,0,1,0,0,0
1700023H06Rik,16,51,40,18,21,30,27,27
1700024B05Rik,0,0,0,0,0,0,0,0
1700024B18Rik,0,0,0,0,0,0,0,0
1700024G13Rik,0,0,0,0,0,0,0,0
1700024J04Rik,0,3,0,0,0,0,0,0
1700024P04Rik,0,0,0,0,0,0,0,0
1700024P16Rik,0,1,0,0,0,3,7,12
1700025A08Rik,0,0,0,0,0,0,0,0
1700025B11Rik,0,0,0,0,0,0,0,0
1700025C18Rik,0,0,0,0,0,0,0,0
1700025D23Rik,0,0,0,0,0,0,0,0
1700025F22Rik,0,0,0,0,0,0,0,0
1700025F24Rik,0,0,0,0,0,0,0,0
1700025G04Rik,6160,7467,4245,4508,4403,386,924,1037
1700025H01Rik,0,0,0,0,0,0,0,0
1700025J12Rik,0,0,0,0,0,0,0,0
1700025K24Rik,0,0,0,0,0,0,0,0
1700025L06Rik,0,0,0,0,0,0,0,0
1700025M24Rik,0,0,2,0,0,0,0,0
1700025N21Rik,2,7,0,1,4,7,6,3
1700025N23Rik,0,1,1,0,0,0,0,0
1700025O08Rik,0,0,0,0,0,0,0,0
1700026D11Rik,12,17,7,4,1,4,4,3
1700026F02Rik,3,1,0,0,0,0,0,0
1700026J12Rik,0,0,0,0,0,0,0,0
1700026J14Rik,0,0,0,0,0,0,0,0
1700027A07Rik,2,1,1,0,3,0,1,1
1700027A15Rik,0,0,0,0,0,0,0,0
1700027F06Rik,0,0,0,0,0,0,0,0
1700027F09Rik,10,12,4,1,7,2,0,3
1700027H10Rik,0,0,0,0,0,0,0,0
1700027I24Rik,0,0,0,0,0,0,0,0
1700027J19Rik,3,8,0,0,0,3,2,1
1700028B04Rik,0,2,0,0,1,0,0,0
1700028D13Rik,0,0,0,0,0,0,0,0
1700028E10Rik,805,961,289,446,489,506,301,439
1700028I16Rik,0,0,0,0,0,2,0,0
1700028J19Rik,39,36,20,24,21,19,7,19
1700028K03Rik,13,3,5,5,14,14,1,1
1700028M03Rik,0,0,0,0,0,0,0,0
1700028N14Rik,30,32,17,19,13,17,4,9
1700028P14Rik,0,0,0,0,0,0,0,0
1700028P15Rik,0,0,0,0,0,0,0,0
1700029B22Rik,0,0,0,0,0,0,0,0
1700029B24Rik,0,0,0,0,0,0,0,0
1700029E06Rik,0,0,0,0,0,0,0,0
1700029F12Rik,0,1,0,0,0,0,0,0
1700029H14Rik,0,2,0,1,2,1,0,0
1700029I15Rik,76,85,41,47,58,45,46,60
1700029J03Rik,0,0,0,0,1,0,0,0
1700029J07Rik,123,96,135,88,95,96,35,68
1700029M03Rik,0,0,0,1,1,2,0,0
1700029M20Rik,0,2,0,0,0,0,0,0
1700029N11Rik,0,0,0,0,0,0,5,0
1700029P11Rik,0,0,0,0,0,0,0,0
1700030A11Rik,0,0,0,0,0,1,0,0
1700030C10Rik,51,27,45,45,38,28,52,51
1700030C12Rik,2,2,2,1,0,0,0,0
1700030C14Rik,0,0,0,0,0,0,0,0
1700030F04Rik,0,0,0,0,0,0,0,0
1700030I03Rik,0,1,0,2,0,0,0,0
1700030J22Rik,8,9,9,3,8,21,14,7
1700030K09Rik,524,446,289,260,195,391,250,415
1700030L20Rik,0,0,0,0,0,0,0,0
1700030M09Rik,0,0,1,0,0,0,0,0
1700030N03Rik,0,1,0,0,0,0,0,0
1700030N18Rik,0,1,0,0,0,0,0,0
1700030O20Rik,0,0,0,0,0,0,0,0
1700031A10Rik,0,3,2,1,0,0,0,0
1700031F05Rik,0,0,0,0,0,0,0,0
1700031F10Rik,0,0,0,0,0,0,0,0
1700031L13Rik,0,0,0,0,0,0,0,0
1700031M16Rik,0,1,0,0,1,0,0,0
1700031P21Rik,0,0,1,0,1,1,0,0
1700034B16Rik,0,0,0,0,0,0,0,0
1700034E13Rik,0,0,0,0,0,0,0,0
1700034G24Rik,0,1,0,0,0,0,0,0
1700034H15Rik,2,12,12,18,12,0,1,1
1700034I23Rik,8,13,10,6,6,8,0,4
1700034J04Rik,0,0,0,0,0,0,0,0
1700034J05Rik,0,1,0,0,0,0,0,0
1700034K08Rik,0,0,0,0,0,0,0,0
1700034O15Rik,0,0,0,0,2,0,0,0
1700034P13Rik,4,2,2,1,2,8,5,8
1700036A12Rik,0,2,0,0,1,0,0,0
1700036G14Rik,0,0,0,0,0,0,0,0
1700036O09Rik,0,0,0,0,0,0,0,0
1700037C06Rik,0,0,0,0,0,0,0,0
1700037C18Rik,384,379,187,193,185,288,244,253
1700037F24Rik,0,0,0,0,0,0,0,0
1700037H04Rik,1555,1514,787,874,861,1868,1553,1597
1700039E22Rik,0,0,0,0,0,0,0,0
1700039I01Rik,0,0,0,0,1,0,0,0
1700039M10Rik,0,1,1,1,1,0,0,1
1700039M15Rik,0,0,0,2,6,0,0,0
1700040D17Rik,14,15,3,2,4,13,14,8
1700040F15Rik,0,0,0,0,0,0,0,0
1700040F17Rik,0,0,0,0,0,0,0,0
1700040K01Rik,0,0,0,0,0,0,0,0
1700040L02Rik,327,231,114,88,96,14,13,11
1700040L08Rik,0,1,0,0,2,0,0,2
1700041C23Rik,0,0,0,0,0,0,0,0
1700041G16Rik,38,38,22,11,17,23,16,35
1700041M05Rik,0,0,0,0,0,0,0,0
1700041M19Rik,0,0,0,0,0,0,0,0
1700042D02Rik,0,0,0,0,0,0,0,0
1700042G07Rik,0,0,0,0,0,0,0,0
1700042G15Rik,0,0,0,0,0,0,1,0
1700042O10Rik,41,17,12,7,2,11,16,0
1700044C05Rik,0,0,0,0,0,0,0,0
1700044K03Rik,0,0,0,0,0,0,0,0
1700045H11Rik,0,0,0,0,0,0,0,0
1700045I11Rik,0,0,0,0,0,0,0,0
1700046C09Rik,0,0,0,0,0,0,0,0
1700047A11Rik,0,1,0,1,1,0,0,0
1700047F07Rik,0,0,0,0,0,1,1,0
1700047G03Rik,1,1,0,1,1,0,0,2
1700047G07Rik,0,0,0,0,0,0,0,0
1700047I17Rik2,107,9,34,16,43,3,6,1
1700047K16Rik,12,6,4,5,0,4,5,6
1700047L14Rik,0,0,0,0,0,0,0,0
1700047M11Rik,7,19,1,1,0,127,85,139
1700047N06Rik,1,2,0,2,5,0,0,0
1700047O18Rik,0,1,0,0,0,0,0,0
1700048F04Rik,0,0,0,0,0,0,0,0
1700048M11Rik,8,6,4,4,7,4,5,6
1700048O20Rik,103,101,40,54,57,114,62,102
1700049E15Rik,0,0,0,0,0,0,0,0
1700049E17Rik1,0,0,0,0,0,0,0,0
1700049E17Rik2,0,0,0,0,0,0,0,0
1700049E22Rik,0,0,0,0,0,0,0,0
1700049J03Rik,0,0,0,0,0,0,0,0
1700049L16Rik,0,0,0,0,0,0,0,0
1700051A21Rik,0,0,0,0,0,0,0,0
1700051K13Rik,1,2,0,0,0,0,0,0
1700051O22Rik,3,3,0,0,2,1,2,2
1700052I22Rik,0,0,0,0,0,0,0,0
1700052K11Rik,429,405,200,292,313,190,353,366
1700054A03Rik,0,0,0,0,0,0,0,0
1700054K02Rik,0,0,0,0,0,0,0,0
1700054K19Rik,0,0,0,0,0,0,0,0
1700054M17Rik,0,0,0,0,0,0,0,0
1700054O19Rik,0,0,0,0,0,0,0,0
1700055C04Rik,0,0,0,0,0,0,0,0
1700055D18Rik,26,57,4,18,25,17,15,11
1700056E22Rik,36,54,30,37,23,16,84,55
1700056N10Rik,72,103,65,84,84,56,21,57
1700057G04Rik,0,0,0,0,1,0,0,0
1700057H15Rik,0,0,0,0,0,0,0,0
1700057H21Rik,0,0,0,0,0,0,0,0
1700058P15Rik,5,7,7,7,3,4,4,2
1700060C16Rik,0,0,0,0,0,0,0,0
1700060C20Rik,0,4,0,1,0,0,0,0
1700060J05Rik,0,0,4,0,0,0,0,0
1700060O08Rik,0,0,0,0,0,0,0,0
1700061E17Rik,0,0,0,0,0,0,0,0
1700061E18Rik,0,0,0,0,0,0,0,0
1700061F12Rik,0,0,0,0,0,0,0,0
1700061G19Rik,2,6,3,2,1,2,3,1
1700061H18Rik,0,0,0,0,0,0,0,0
1700061I17Rik,1,1,0,0,0,0,0,0
1700061J23Rik,0,0,0,0,0,0,0,0
1700063A18Rik,0,0,0,1,0,0,0,0
1700063D05Rik,0,1,0,0,0,0,1,0
1700063H04Rik,0,0,0,0,1,3,0,2
1700063H06Rik,0,0,0,0,0,0,0,0
1700063I16Rik,0,0,0,0,1,0,0,0
1700063K16Rik,0,0,0,0,0,0,0,0
1700063O14Rik,0,0,0,0,0,0,0,0
1700064H15Rik,1,0,1,0,0,1,0,0
1700064J06Rik,0,0,0,0,0,0,0,0
1700064M15Rik,0,0,1,0,0,0,0,3
1700065D16Rik,16,23,9,14,19,0,4,10
1700065I16Rik,0,0,0,0,0,0,0,0
1700065J11Rik,0,0,0,0,0,0,0,0
1700065J18Rik,0,0,0,0,0,0,0,0
1700065L07Rik,0,0,0,0,0,0,0,0
1700065O20Rik,0,0,0,0,0,0,0,0
1700066B17Rik,0,0,0,0,0,0,1,0
1700066B19Rik,113,100,23,39,49,46,34,33
1700066C05Rik,0,0,0,0,0,0,0,0
1700066J03Rik,0,0,0,0,0,0,0,0
1700066M21Rik,764,812,513,474,497,86,366,480
1700066N21Rik,0,0,0,0,1,0,0,0
1700066O22Rik,0,0,0,0,2,0,0,0
1700067G17Rik,0,0,0,0,0,0,0,0
1700067K01Rik,14,12,2,10,17,9,7,4
1700067P10Rik,0,1,0,0,2,0,0,0
1700069B07Rik,6,8,4,2,4,0,0,0
1700069L16Rik,0,0,0,0,0,0,0,0
1700069P05Rik,0,0,0,0,0,0,0,0
1700071G01Rik,0,1,0,0,0,0,0,0
1700071K01Rik,0,0,0,0,0,0,0,0
1700071M16Rik,8,6,0,2,3,34,10,2
1700072B07Rik,0,0,0,0,0,0,0,0
1700072G22Rik,1,0,1,0,0,0,0,1
1700072O05Rik,0,0,0,0,0,0,0,0
1700073E17Rik,0,0,0,0,0,0,0,0
1700074A21Rik,0,0,0,0,0,0,0,0
1700074H08Rik,0,0,0,0,0,0,0,0
1700074P13Rik,0,0,1,1,0,0,0,0
1700080E11Rik,0,0,0,0,0,0,0,0
1700080G11Rik,0,2,1,0,0,2,0,0
1700080N15Rik,0,0,0,0,0,0,0,0
1700080O16Rik,0,0,0,0,1,0,0,0
1700081H04Rik,0,0,0,0,0,0,0,0
1700082M22Rik,0,3,2,0,3,1,0,1
1700083H02Rik,0,0,0,0,0,0,0,0
1700084C06Rik,2,1,1,1,0,1,2,1
1700084E18Rik,27,21,8,17,9,6,16,5
1700084F23Rik,0,0,0,0,0,0,0,0
1700084J12Rik,6,7,2,4,8,5,3,3
1700084M14Rik,0,0,0,0,0,0,0,0
1700085C21Rik,0,1,0,0,0,0,0,0
1700086D15Rik,0,1,0,0,0,0,0,0
1700086L19Rik,0,0,0,0,0,0,0,0
1700086O06Rik,63,39,15,18,13,39,33,34
1700086P04Rik,1,0,0,2,0,0,0,1
1700087M22Rik,0,0,0,0,0,0,0,0
1700088E04Rik,16,15,11,19,12,6,11,9
1700091H14Rik,0,0,0,0,0,0,0,0
1700092C02Rik,0,0,0,0,1,0,0,0
1700092C10Rik,0,0,0,0,0,0,0,0
1700092C17Rik,0,2,0,0,0,1,0,0
1700092E19Rik,0,0,0,0,0,0,0,0
1700092K14Rik,0,0,0,0,0,0,0,0
1700092M07Rik,0,3,2,0,3,1,4,0
1700093J21Rik,0,0,1,0,0,0,0,0
1700093K21Rik,0,4,0,1,6,0,0,0
1700094J05Rik,0,0,0,0,0,0,1,0
1700094M24Rik,1,0,0,1,1,0,0,0
1700095A13Rik,0,0,0,0,0,0,0,0
1700095A21Rik,0,0,0,0,1,0,0,0
1700095B10Rik,0,0,0,0,0,0,0,0
1700095J03Rik,0,1,0,0,0,0,0,0
1700095J07Rik,0,0,0,2,5,0,0,0
1700095J12Rik,0,2,5,0,3,4,0,3
1700095K22Rik,0,0,0,0,0,0,0,0
1700096J18Rik,0,0,0,0,0,0,0,0
1700096K18Rik,450,492,178,227,194,170,172,192
1700097M23Rik,1,0,0,0,3,0,0,0
1700097N02Rik,24,27,7,10,13,5,6,5
1700099I09Rik,0,0,0,0,0,1,0,1
1700100L14Rik,0,0,0,0,0,0,0,0
1700101I11Rik,8,4,0,2,0,5,0,4
1700101I19Rik,0,0,0,0,0,0,0,0
1700101O22Rik,0,0,0,0,0,0,0,0
1700102F20Rik,0,0,0,0,0,0,0,0
1700102P08Rik,38,33,25,46,33,8,12,16
1700104B16Rik,0,0,0,0,0,0,0,0
1700105P06Rik,2,3,3,2,6,7,10,5
1700108F19Rik,0,2,0,1,0,0,1,0
1700108J01Rik,0,0,0,0,0,0,0,0
1700108N11Rik,0,0,0,0,0,0,0,0
1700109G14Rik,0,0,0,0,0,0,0,0
1700109G15Rik,0,0,0,0,0,0,0,0
1700109H08Rik,329,261,213,150,202,245,77,115
1700109I08Rik,0,0,0,0,0,0,0,0
1700109K24Rik,0,0,0,0,0,0,0,0
1700110C19Rik,3,9,1,1,2,0,1,2
1700110I01Rik,0,0,0,0,0,0,0,0
1700110I07Rik,0,1,0,1,0,0,0,0
1700110K17Rik,0,2,1,1,1,0,0,0
1700111E14Rik,0,0,0,0,0,0,0,0
1700111N16Rik,0,1,0,0,0,0,0,0
1700112D23Rik,0,0,1,1,1,1,0,1
1700112E06Rik,236,224,85,104,95,98,57,44
1700112H15Rik,0,0,0,1,0,0,0,0
1700112J05Rik,0,0,0,0,0,0,0,0
1700112J16Rik,0,1,0,0,0,1,0,0
1700112K13Rik,0,0,0,0,0,0,0,0
1700112L15Rik,0,0,0,0,0,0,0,0
1700113A16Rik,51,40,22,29,11,47,28,22
1700113B19Rik,0,0,0,0,0,0,0,0
1700113H08Rik,1,0,0,0,0,1,1,1
1700116B05Rik,0,0,0,0,0,0,0,0
1700119H24Rik,0,0,0,0,0,0,0,0
1700119I11Rik,0,0,0,0,0,0,0,0
